lon,lat,rayon,location,address,number,volume/each,comment,source
73.13428202,54.6845914,Азовский,Пахомовка (Азовское сельское поселение),,,,,"docs\Азовский\Азово исход данные и конт площ\карта 1\""Дорожная карта создания мусорной отрасли (1).pdf"" "
73.13696906,54.68526215,Азовский,Пахомовка (Азовское сельское поселение),,,,,"docs\Азовский\Азово исход данные и конт площ\карта 1\""Дорожная карта создания мусорной отрасли (1).pdf"" "
73.14197672,54.68536805,Азовский,Пахомовка (Азовское сельское поселение),,,,,"docs\Азовский\Азово исход данные и конт площ\карта 1\""Дорожная карта создания мусорной отрасли (1).pdf"" "
73.13849579,54.68035487,Азовский,Пахомовка (Азовское сельское поселение),,,,,"docs\Азовский\Азово исход данные и конт площ\карта 1\""Дорожная карта создания мусорной отрасли (1).pdf"" "
73.14020572,54.68204953,Азовский,Пахомовка (Азовское сельское поселение),,,,,"docs\Азовский\Азово исход данные и конт площ\карта 1\""Дорожная карта создания мусорной отрасли (1).pdf"" "
73.14246527,54.68303806,Азовский,Пахомовка (Азовское сельское поселение),,,,,"docs\Азовский\Азово исход данные и конт площ\карта 1\""Дорожная карта создания мусорной отрасли (1).pdf"" "
73.14154924,54.67904851,Азовский,Пахомовка (Азовское сельское поселение),,,,,"docs\Азовский\Азово исход данные и конт площ\карта 1\""Дорожная карта создания мусорной отрасли (1).pdf"" "
73.14710652,54.67866013,Азовский,Пахомовка (Азовское сельское поселение),,,,,"docs\Азовский\Азово исход данные и конт площ\карта 1\""Дорожная карта создания мусорной отрасли (1).pdf"" "
73.14325917,54.67555292,Азовский,Пахомовка (Азовское сельское поселение),,,,,"docs\Азовский\Азово исход данные и конт площ\карта 1\""Дорожная карта создания мусорной отрасли (1).pdf"" "
73.14783935,54.6738933,Азовский,Пахомовка (Азовское сельское поселение),,,,,"docs\Азовский\Азово исход данные и конт площ\карта 1\""Дорожная карта создания мусорной отрасли (1).pdf"" "
73.14985463,54.67502326,Азовский,Пахомовка (Азовское сельское поселение),,,,,"docs\Азовский\Азово исход данные и конт площ\карта 1\""Дорожная карта создания мусорной отрасли (1).pdf"" "
73.15132029,54.67188047,Азовский,Пахомовка (Азовское сельское поселение),,,,,"docs\Азовский\Азово исход данные и конт площ\карта 1\""Дорожная карта создания мусорной отрасли (1).pdf"" "
73.15528978,54.67251611,Азовский,Пахомовка (Азовское сельское поселение),,,,,"docs\Азовский\Азово исход данные и конт площ\карта 1\""Дорожная карта создания мусорной отрасли (1).pdf"" "
73.15779361,54.67382267,Азовский,Пахомовка (Азовское сельское поселение),,,,,"docs\Азовский\Азово исход данные и конт площ\карта 1\""Дорожная карта создания мусорной отрасли (1).pdf"" "
,,Азовский,Березовка (Березовское сельское поселение),,,,на картах ничего не видно,docs\Азовский\Азово исход данные и конт площ\карта 2\1.pdf 
72.85716156,54.48484979,Азовский,Цветнополье (Цветнопольское сельское поселение),,1,,,docs\Азовский\Азово исход данные и конт площ\карта 3\1.pdf 
72.8580776,54.49063199,Азовский,Цветнополье (Цветнопольское сельское поселение),,1,,,docs\Азовский\Азово исход данные и конт площ\карта 3\1.pdf 
72.86204709,54.48807799,Азовский,Цветнополье (Цветнопольское сельское поселение),,1,,,docs\Азовский\Азово исход данные и конт площ\карта 3\1.pdf 
72.8657723,54.49222816,Азовский,Цветнополье (Цветнопольское сельское поселение),,1,,,docs\Азовский\Азово исход данные и конт площ\карта 3\1.pdf 
72.86668834,54.48516907,Азовский,Цветнополье (Цветнопольское сельское поселение),,1,,,docs\Азовский\Азово исход данные и конт площ\карта 3\1.pdf 
72.87395556,54.48967426,Азовский,Цветнополье (Цветнопольское сельское поселение),,1,,,docs\Азовский\Азово исход данные и конт площ\карта 3\1.pdf 
72.87511587,54.49169611,Азовский,Цветнополье (Цветнопольское сельское поселение),,1,,,docs\Азовский\Азово исход данные и конт площ\карта 3\1.pdf 
72.88213881,54.48853914,Азовский,Цветнополье (Цветнопольское сельское поселение),,1,,,docs\Азовский\Азово исход данные и конт площ\карта 3\1.pdf 
72.88311592,54.49226363,Азовский,Цветнополье (Цветнопольское сельское поселение),,1,,,docs\Азовский\Азово исход данные и конт площ\карта 3\1.pdf 
72.88366554,54.49616511,Азовский,Цветнополье (Цветнопольское сельское поселение),,1,,,docs\Азовский\Азово исход данные и конт площ\карта 3\1.pdf 
72.88659685,54.4912882,Азовский,Цветнополье (Цветнопольское сельское поселение),,1,,,docs\Азовский\Азово исход данные и конт площ\карта 3\1.pdf 
